time,cpu_pwr,gpu_pwr
0.2,0.09,0
0.4,0.09,0
0.6,0.09,0
0.8,0.09,0
1,0.09,0
1.2,0.09,0
1.4,0.09,0
1.6,0.09,0.06
1.8,0.09,0.06
2,0.13,0.07
2.2,0.13,0.07
2.4,0.12,0.07
2.6,0.1,0.01
2.8,0.1,0.04
3,0.1,0.04
3.2,0.11,0.06
3.4,0.1,0.05
3.6,0.09,0.02
3.8,0.12,0.02
4,0.12,0.02
4.2,0.67,0.02
4.4,0.09,0.01
4.6,0.09,0
4.8,0.09,0
5,0.09,0
5.2,0.16,0.07
5.4,0.16,0.04
5.6,0.16,0.04
5.8,0.18,0
6,1.98,0.03
6.2,0.28,0.02
6.4,0.28,0.02
6.6,0.11,0.11
6.8,0.1,0.14
7,0.09,0.07
7.2,0.09,0.07
7.4,0.09,0.04
7.6,0.09,0.02
7.8,0.09,0.05
8,0.09,0.05
8.2,0.09,0.06
8.4,0.09,0.03
8.6,0.09,0.02
8.8,0.09,0.02
9,0.11,0
9.2,0.5,0
9.4,1.29,0.04
9.6,1.29,0.04
9.8,0.95,0.03
10,0.8,0.12
10.2,0.3,0.16
10.4,0.11,0.02
10.6,0.11,0.02
10.8,0.1,0.14
11,0.09,0.02
11.2,0.09,0.02
11.4,0.09,0.02
11.6,0.09,0.02
11.8,0.16,0.1
12,1.95,0.12
12.2,1.95,0.12
12.4,2.71,0.12
12.6,2.74,0.08
12.8,2.76,0.13
13,2.76,0.13
13.2,2.76,0.11
13.4,2.77,0.09
13.6,2.78,0.09
13.8,2.78,0.09
14,2.79,0.05
14.2,3.43,0.05
14.4,4.55,0.05
14.6,4.55,0.05
14.8,4.35,0.14
15,3.61,0.15
15.2,2.61,0.13
15.4,2.61,0.13
15.6,2.59,0.11
15.8,2.59,0.12
16,3.79,0.06
16.2,4.34,0.12
16.4,4.34,0.12
16.6,4.36,0.13
16.8,4.38,0.12
17,4.4,0.12
17.2,4.4,0.12
17.4,5.8,0.08
17.6,5.8,0.07
17.8,6.09,0.06
18,6.09,0.06
18.2,7.25,0.11
18.4,6.95,0.12
18.6,7.03,0.05
18.8,7.03,0.05
19,7.08,0.06
19.2,6.64,0.06
19.4,6.18,0.09
19.6,6.18,0.09
19.8,6.64,0.16
20,6.4,0.14
20.2,6.1,0.08
20.4,6.1,0.08
20.6,6.18,0.05
20.8,5.58,0.09
21,5.99,0.15
21.2,5.99,0.15
21.4,5.66,0.15
21.6,5.25,0.16
21.8,5.79,0.17
22,5.79,0.17
22.2,5.29,0.15
22.4,5.48,0.14
22.6,5.55,0.12
22.8,5.71,0.12
23,5.71,0.12
23.2,5.26,0.16
23.4,5.95,0.13
23.6,4.7,0.1
23.8,4.7,0.1
24,5.45,0.06
24.2,5.79,0.07
24.4,4.6,0.06
24.6,4.6,0.06
24.8,4.19,0.04
25,4.44,0.1
25.2,4.27,0.08
25.4,4.27,0.08
25.6,4.3,0.13
25.8,5.81,0.15
26,5.99,0.15
26.2,5.99,0.15
26.4,5.31,0.14
26.6,5.5,0.16
26.8,4.73,0.13
27,4.73,0.13
