cpu_pwr,gpu_pwr
0.10,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.10,0.00
0.10,0.00
0.09,0.00
0.09,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.10,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.09,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.12,0.02
0.10,0.02
0.10,0.02
0.09,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.10,0.00
0.09,0.00
0.10,0.00
0.10,0.00
0.16,0.04
2.56,0.12
2.77,0.08
2.77,0.08
2.80,0.12
2.82,0.10
2.83,0.07
2.83,0.07
2.84,0.09
2.85,0.12
2.87,0.06
2.87,0.06
3.61,0.07
4.38,0.08
4.42,0.05
4.42,0.05
3.36,0.06
2.68,0.06
2.66,0.04
2.66,0.04
2.66,0.09
3.97,0.08
4.44,0.16
4.46,0.15
4.46,0.15
4.48,0.12
4.50,0.05
4.83,0.08
4.83,0.08
3.91,0.13
3.93,0.17
3.66,0.16
3.66,0.16
3.74,0.06
3.67,0.03
3.71,0.02
3.71,0.02
3.85,0.09
3.85,0.16
3.69,0.09
3.69,0.09
3.55,0.02
3.52,0.08
3.48,0.06
3.48,0.06
3.53,0.05
3.52,0.06
3.49,0.05
3.49,0.05
3.56,0.07
3.64,0.12
3.59,0.15
3.59,0.15
3.64,0.15
3.56,0.16
3.48,0.16
3.52,0.16
3.52,0.16
3.17,0.15
4.46,0.11
3.27,0.13
3.27,0.13
3.26,0.12
3.39,0.05
3.16,0.08
3.16,0.08
3.14,0.11
3.25,0.11
3.17,0.08
3.17,0.08
3.73,0.06
3.41,0.05
3.42,0.04
3.42,0.04
3.40,0.04
3.75,0.07
4.56,0.11
4.56,0.11
4.60,0.12
4.71,0.10
3.04,0.14
3.04,0.14
3.35,0.12
3.43,0.12
3.01,0.10
3.22,0.10
3.22,0.10
3.07,0.13
3.14,0.10
3.23,0.15
3.23,0.15
3.02,0.15
2.95,0.11
3.68,0.07
3.68,0.07
2.80,0.15
1.47,0.09
1.47,0.05
1.47,0.05
4.18,0.07
3.76,0.11
3.68,0.14
3.68,0.14
3.77,0.15
3.47,0.16
3.33,0.16
3.33,0.16
3.43,0.14
3.24,0.12
3.36,0.09
3.36,0.09
3.37,0.07
3.45,0.06
3.48,0.07
3.48,0.07
3.58,0.05
3.57,0.08
3.35,0.13
3.45,0.16
3.45,0.16
3.37,0.16
3.21,0.16
3.25,0.16
3.25,0.16
3.29,0.13
3.30,0.09
3.23,0.07
3.23,0.07
3.42,0.07
3.07,0.05
4.02,0.06
4.02,0.06
3.60,0.08
3.44,0.13
3.36,0.16
3.36,0.16
3.38,0.15
3.22,0.16
3.24,0.17
3.24,0.17
3.21,0.13
3.24,0.09
3.42,0.05
3.42,0.05
3.33,0.02
3.44,0.03
3.59,0.02
3.37,0.05
3.37,0.05
3.43,0.11
3.35,0.15
3.15,0.15
3.15,0.15
3.25,0.15
3.16,0.16
3.13,0.15
3.13,0.15
3.38,0.15
3.37,0.12
3.13,0.06
3.13,0.06
4.09,0.05
3.95,0.06
3.84,0.06
3.84,0.06
3.99,0.07
3.92,0.10
3.78,0.15
3.78,0.15
3.68,0.15
3.69,0.16
3.61,0.16
3.61,0.16
3.44,0.16
3.79,0.14
3.86,0.12
3.86,0.12
3.45,0.10
3.90,0.06
3.91,0.07
3.43,0.06
3.43,0.06
3.76,0.08
3.68,0.14
3.30,0.16
3.30,0.16
3.66,0.16
3.55,0.16
3.47,0.17
3.47,0.17
3.72,0.14
3.23,0.10
1.92,0.09
1.92,0.09
0.98,0.13
0.19,0.07
2.18,0.05
2.18,0.05
3.01,0.10
3.03,0.08
3.05,0.06
3.05,0.06
3.05,0.10
3.05,0.16
3.05,0.15
3.05,0.15
3.05,0.15
4.43,0.16
4.46,0.17
4.60,0.14
4.60,0.14
4.08,0.13
2.80,0.11
2.80,0.06
2.80,0.06
2.79,0.06
3.12,0.07
3.49,0.07
3.49,0.07
3.22,0.14
3.31,0.14
3.33,0.15
3.33,0.15
3.72,0.10
3.53,0.10
3.69,0.14
3.69,0.14
3.79,0.08
3.54,0.06
3.61,0.06
3.61,0.06
3.49,0.10
3.83,0.15
4.02,0.07
4.02,0.07
3.57,0.11
3.47,0.11
3.73,0.11
3.73,0.11
3.75,0.10
3.50,0.07
3.67,0.06
3.60,0.05
3.60,0.05
3.31,0.06
3.40,0.06
3.46,0.10
3.46,0.10
3.17,0.08
3.60,0.18
3.64,0.19
3.64,0.19
3.46,0.19
3.24,0.17
3.65,0.17
3.65,0.17
3.29,0.13
3.03,0.17
3.07,0.14
3.07,0.14
4.33,0.09
4.15,0.07
4.01,0.06
4.01,0.06
4.78,0.07
3.96,0.07
4.33,0.11
4.33,0.11
4.38,0.13
3.72,0.16
4.20,0.16
4.31,0.16
4.31,0.16
4.05,0.16
3.84,0.13
3.33,0.11
3.33,0.11
3.24,0.08
3.36,0.05
2.88,0.05
2.88,0.05
3.11,0.06
3.18,0.08
3.19,0.14
3.19,0.14
3.11,0.15
3.15,0.16
3.18,0.13
3.18,0.13
2.72,0.16
2.67,0.14
2.05,0.11
2.05,0.11
1.79,0.06
4.03,0.10
3.65,0.14
3.65,0.14
3.63,0.14
3.61,0.04
3.32,0.16
3.32,0.16
3.62,0.16
3.62,0.13
3.36,0.07
3.68,0.07
3.68,0.07
3.58,0.06
3.27,0.05
3.69,0.06
3.69,0.06
3.54,0.06
3.23,0.12
3.46,0.15
3.46,0.15
3.35,0.16
3.28,0.17
3.32,0.15
3.32,0.15
3.52,0.11
3.32,0.11
3.34,0.05
3.34,0.05
3.49,0.06
3.55,0.06
3.22,0.06
3.22,0.06
3.44,0.07
3.43,0.11
3.00,0.15
3.00,0.15
3.43,0.16
3.32,0.16
3.16,0.16
3.51,0.17
3.51,0.17
3.40,0.13
3.30,0.08
3.80,0.07
3.80,0.07
3.77,0.05
3.29,0.06
3.59,0.06
3.59,0.06
3.52,0.12
3.15,0.11
3.38,0.14
3.38,0.14
3.51,0.15
3.36,0.16
3.51,0.10
3.51,0.10
3.77,0.10
3.62,0.06
3.62,0.06
3.62,0.06
4.29,0.06
3.83,0.06
3.55,0.05
3.55,0.05
3.73,0.10
3.75,0.16
3.37,0.16
3.37,0.16
3.93,0.17
4.05,0.10
3.47,0.16
4.08,0.12
4.08,0.12
4.00,0.08
3.43,0.06
3.43,0.06
3.43,0.06
3.72,0.08
3.73,0.07
3.17,0.10
3.17,0.10
3.57,0.14
3.75,0.17
3.45,0.16
3.45,0.16
3.78,0.15
3.98,0.16
3.79,0.11
3.79,0.11
3.56,0.08
3.86,0.07
3.24,0.05
3.24,0.05
5.37,0.05
3.01,0.05
3.48,0.11
3.48,0.11
3.18,0.13
3.71,0.19
3.96,0.19
3.52,0.20
3.52,0.20
3.90,0.13
3.92,0.12
3.22,0.04
3.22,0.04
3.66,0.04
3.59,0.03
3.21,0.03
3.21,0.03
3.53,0.02
3.69,0.06
3.53,0.11
3.53,0.11
3.71,0.17
3.96,0.17
3.74,0.16
3.74,0.16
3.50,0.16
3.70,0.11
3.63,0.07
3.63,0.07
3.13,0.07
3.48,0.07
2.72,0.05
2.72,0.05
2.22,0.07
0.41,0.07
0.64,0.13
3.04,0.13
3.04,0.12
3.07,0.12
3.08,0.16
3.08,0.14
3.08,0.14
3.08,0.07
3.08,0.15
3.08,0.15
3.08,0.15
4.31,0.14
4.31,0.14
3.93,0.11
3.93,0.11
3.38,0.07
2.85,0.06
2.84,0.12
2.84,0.12
3.00,0.15
4.29,0.05
4.32,0.07
4.32,0.07
3.83,0.13
4.17,0.11
4.27,0.13
4.27,0.13
3.65,0.14
3.72,0.09
3.70,0.03
3.70,0.03
4.14,0.10
3.56,0.07
3.86,0.08
3.74,0.14
3.74,0.14
3.00,0.16
3.79,0.16
3.65,0.16
3.65,0.16
3.32,0.07
3.54,0.06
3.78,0.06
3.78,0.06
3.64,0.07
3.60,0.12
3.92,0.15
3.92,0.15
3.72,0.15
3.36,0.15
3.58,0.17
3.58,0.17
3.47,0.15
3.11,0.10
3.51,0.07
3.51,0.07
3.67,0.10
3.17,0.12
4.74,0.08
4.74,0.08
4.26,0.10
3.76,0.06
3.72,0.06
3.99,0.06
3.99,0.06
3.66,0.07
3.69,0.12
4.07,0.14
4.07,0.14
3.40,0.16
3.41,0.16
3.50,0.09
3.50,0.09
3.26,0.11
3.13,0.12
3.37,0.07
3.37,0.07
3.32,0.06
3.57,0.07
3.43,0.06
3.43,0.06
3.39,0.04
3.29,0.15
3.42,0.14
3.42,0.14
4.35,0.17
4.38,0.16
4.12,0.16
4.12,0.16
4.11,0.12
3.91,0.14
4.11,0.11
4.11,0.11
3.57,0.08
2.22,0.07
1.52,0.06
3.80,0.14
3.80,0.14
3.56,0.17
3.58,0.17
3.70,0.14
3.70,0.14
3.54,0.09
3.65,0.07
3.76,0.06
3.76,0.06
3.56,0.07
3.28,0.06
3.43,0.09
3.43,0.09
3.56,0.16
3.69,0.15
3.22,0.16
3.22,0.16
3.51,0.16
3.61,0.16
3.18,0.10
3.18,0.10
3.70,0.06
3.79,0.07
3.25,0.06
3.25,0.06
3.90,0.06
3.76,0.07
3.19,0.11
3.19,0.11
3.52,0.16
3.05,0.16
