cpu_pwr,gpu_pwr
0.11,0.00
0.09,0.00
0.11,0.01
2.06,0.09
2.06,0.09
2.63,0.14
2.66,0.14
2.67,0.15
2.67,0.15
2.68,0.12
2.69,0.12
2.70,0.14
2.71,0.14
2.71,0.14
3.00,0.08
4.24,0.06
4.26,0.06
4.26,0.04
3.79,0.05
2.65,0.06
2.64,0.05
2.64,0.05
2.64,0.03
3.24,0.06
4.31,0.04
4.31,0.04
4.36,0.10
4.38,0.13
4.41,0.06
4.41,0.06
5.13,0.07
5.08,0.06
4.69,0.07
4.69,0.07
4.19,0.13
5.05,0.07
5.03,0.10
5.03,0.10
4.64,0.10
4.66,0.11
4.55,0.16
4.55,0.16
4.69,0.16
4.81,0.16
5.26,0.17
5.26,0.17
4.61,0.10
4.74,0.05
5.29,0.06
4.68,0.09
4.68,0.09
4.59,0.14
5.20,0.16
4.72,0.15
4.72,0.15
4.44,0.16
4.90,0.16
4.53,0.15
4.53,0.15
4.18,0.09
4.94,0.12
3.72,0.16
3.72,0.16
4.20,0.12
4.12,0.14
3.27,0.02
3.27,0.02
3.16,0.04
3.44,0.03
3.44,0.03
3.44,0.03
3.19,0.04
4.09,0.06
4.51,0.06
4.51,0.06
4.14,0.05
4.24,0.07
3.99,0.13
4.25,0.15
4.25,0.15
4.40,0.13
4.54,0.13
4.64,0.14
4.64,0.14
4.43,0.10
4.90,0.07
4.25,0.07
4.25,0.07
3.28,0.06
3.70,0.11
3.46,0.13
3.46,0.13
3.46,0.14
3.72,0.13
3.58,0.10
3.58,0.10
3.59,0.11
2.64,0.13
2.39,0.13
2.39,0.13
4.23,0.06
5.76,0.07
5.94,0.13
5.94,0.13
4.98,0.17
5.30,0.17
4.75,0.19
4.75,0.19
4.38,0.20
4.39,0.17
4.81,0.12
5.01,0.07
5.01,0.07
5.01,0.06
4.73,0.07
4.95,0.07
4.95,0.07
4.78,0.04
4.02,0.04
4.84,0.13
4.84,0.13
4.33,0.16
3.98,0.17
4.79,0.16
4.79,0.16
4.35,0.17
4.40,0.13
4.60,0.12
4.60,0.12
4.55,0.11
4.42,0.04
4.17,0.06
4.17,0.06
5.15,0.06
4.95,0.07
4.60,0.10
4.60,0.10
4.38,0.13
4.73,0.15
4.32,0.15
4.32,0.15
4.38,0.15
4.83,0.17
4.58,0.13
4.42,0.09
4.42,0.09
4.70,0.07
4.36,0.10
4.72,0.05
4.72,0.05
4.24,0.04
4.44,0.07
4.62,0.12
4.62,0.12
4.31,0.16
4.38,0.17
4.87,0.16
4.87,0.16
4.34,0.16
4.26,0.15
4.43,0.10
4.43,0.10
4.36,0.09
4.50,0.07
4.55,0.08
4.55,0.08
4.19,0.04
4.76,0.07
4.35,0.03
4.35,0.03
4.25,0.03
4.60,0.11
4.19,0.13
4.59,0.08
4.59,0.08
4.52,0.12
4.22,0.15
4.11,0.10
4.11,0.10
4.49,0.09
4.14,0.06
4.44,0.07
4.44,0.07
4.29,0.07
4.18,0.08
4.69,0.13
4.69,0.13
4.15,0.14
4.28,0.16
4.52,0.15
4.52,0.15
4.27,0.17
4.44,0.16
4.22,0.10
4.22,0.10
4.11,0.06
4.18,0.06
3.06,0.08
3.06,0.08
1.53,0.07
0.72,0.06
2.96,0.07
2.96,0.07
2.98,0.05
2.98,0.08
2.97,0.13
2.97,0.12
2.97,0.12
2.96,0.16
2.95,0.16
3.59,0.17
3.59,0.17
4.49,0.15
4.42,0.09
4.44,0.07
4.44,0.07
3.08,0.06
2.84,0.05
2.81,0.07
2.81,0.07
3.96,0.06
4.73,0.09
4.38,0.15
4.38,0.15
4.48,0.17
4.46,0.20
5.77,0.20
5.77,0.20
6.00,0.06
5.45,0.09
6.06,0.09
6.06,0.09
5.22,0.10
4.91,0.07
4.96,0.07
4.41,0.16
4.41,0.16
4.86,0.10
5.26,0.09
4.55,0.12
4.55,0.12
5.04,0.09
4.80,0.06
4.69,0.05
4.69,0.05
5.00,0.06
4.86,0.06
4.84,0.07
4.84,0.07
4.71,0.14
4.05,0.16
4.64,0.15
4.64,0.15
4.38,0.16
4.64,0.16
4.41,0.16
4.41,0.16
5.16,0.16
6.03,0.17
5.80,0.17
5.80,0.17
4.55,0.13
3.90,0.12
3.38,0.09
3.29,0.07
3.29,0.07
3.66,0.08
4.14,0.07
4.22,0.06
4.22,0.06
5.96,0.06
5.94,0.11
4.89,0.03
4.89,0.03
4.63,0.13
4.62,0.19
4.61,0.13
4.61,0.13
5.26,0.13
6.16,0.15
6.06,0.14
6.06,0.14
5.97,0.08
5.36,0.09
4.34,0.07
4.34,0.07
4.37,0.06
4.44,0.04
4.41,0.06
4.41,0.06
4.45,0.10
4.48,0.13
4.47,0.05
4.47,0.05
2.44,0.10
1.48,0.09
6.92,0.06
5.43,0.13
5.43,0.13
4.73,0.15
4.80,0.16
4.53,0.15
4.53,0.15
4.85,0.14
4.28,0.17
4.73,0.12
4.73,0.12
4.68,0.09
4.44,0.06
4.47,0.06
4.47,0.06
4.35,0.07
4.15,0.07
4.09,0.10
4.09,0.10
4.32,0.15
4.22,0.16
4.53,0.17
4.53,0.17
4.66,0.17
4.25,0.16
4.52,0.13
