avg_cpu_temp,gpu_temp
51.75,49.00
51.75,49.00
51.75,49.00
51.75,49.00
51.75,49.00
51.75,49.00
51.75,49.00
52.00,49.00
51.75,49.00
51.75,49.00
52.00,49.00
51.75,49.00
51.75,49.00
51.75,49.00
52.00,49.00
52.00,49.00
51.75,49.00
51.75,49.00
52.25,49.00
52.00,49.00
52.00,49.00
52.25,49.00
52.25,49.00
52.25,49.00
52.25,49.00
52.25,49.00
52.25,49.00
52.25,49.00
52.25,49.00
52.50,49.00
52.25,49.00
52.25,49.00
52.50,49.00
52.50,50.00
52.75,50.00
52.25,49.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
52.75,50.00
53.00,50.00
55.75,51.00
58.50,51.00
60.75,52.00
61.50,53.00
62.75,54.00
63.25,54.00
63.75,54.00
64.50,55.00
64.75,55.00
65.50,55.00
66.00,56.00
67.25,56.00
69.75,57.00
71.00,57.00
72.00,58.00
71.25,58.00
70.00,58.00
69.00,58.00
69.00,58.00
68.75,58.00
70.00,59.00
72.75,60.00
73.50,61.00
74.50,62.00
75.00,62.00
75.50,63.00
76.25,63.00
80.00,64.00
77.75,63.00
76.75,63.00
77.25,63.00
76.75,63.00
76.25,63.00
76.50,63.00
76.50,63.00
77.00,63.00
75.75,63.00
78.00,63.00
77.25,63.00
76.75,63.00
76.75,63.00
77.25,64.00
77.25,64.00
77.25,64.00
77.25,65.00
77.25,65.00
77.25,65.00
77.50,65.00
77.50,65.00
77.75,66.00
78.50,66.00
78.50,66.00
78.25,66.00
78.25,66.00
78.25,66.00
78.25,66.00
78.25,66.00
76.00,65.00
79.50,66.00
77.75,66.00
78.00,65.00
77.50,65.00
77.75,65.00
76.25,65.00
76.50,64.00
76.75,63.00
76.25,63.00
76.25,63.00
76.75,63.00
77.25,63.00
77.25,63.00
77.25,63.00
76.75,63.00
76.75,63.00
76.00,63.00
78.00,63.00
78.75,64.00
79.25,64.00
81.50,64.00
78.75,64.00
77.75,64.00
78.00,64.00
77.75,64.00
77.75,64.00
76.50,63.00
77.00,63.00
76.75,63.00
76.25,63.00
76.75,63.00
77.00,63.00
76.25,63.00
76.25,63.00
76.00,63.00
77.00,63.00
75.00,64.00
73.25,63.00
71.00,63.00
69.75,63.00
76.50,64.00
77.00,65.00
77.50,66.00
77.50,66.00
78.50,66.00
78.25,67.00
78.75,67.00
78.50,67.00
79.00,67.00
78.50,67.00
78.50,67.00
79.00,67.00
79.00,67.00
78.75,67.00
79.00,68.00
79.25,68.00
79.25,68.00
79.00,68.00
79.25,68.00
79.25,68.00
79.25,68.00
79.25,68.00
79.25,68.00
79.50,68.00
79.50,68.00
79.50,68.00
79.50,68.00
79.50,68.00
79.50,68.00
79.75,68.00
76.75,68.00
79.75,68.00
80.00,68.00
80.00,68.00
79.75,68.00
80.00,68.00
80.00,68.00
80.00,68.00
79.25,69.00
79.75,69.00
80.00,69.00
80.00,69.00
79.25,69.00
80.00,69.00
80.00,69.00
80.00,68.00
79.50,68.00
79.75,69.00
80.00,69.00
80.00,69.00
80.00,69.00
79.75,69.00
80.00,69.00
79.50,69.00
80.00,69.00
79.50,69.00
80.00,69.00
79.75,69.00
80.00,69.00
79.50,69.00
80.00,69.00
78.50,68.00
80.00,68.00
80.25,69.00
80.75,69.00
81.00,69.00
81.25,69.00
81.25,70.00
81.25,70.00
82.00,70.00
82.00,70.00
82.00,70.00
81.50,70.00
81.75,70.00
81.25,70.00
82.00,70.00
82.00,70.00
82.00,70.00
82.00,70.00
82.00,70.00
82.00,70.00
82.25,70.00
82.00,71.00
82.00,70.00
82.00,71.00
82.00,71.00
82.00,71.00
82.00,71.00
82.00,71.00
82.00,71.00
82.00,71.00
82.00,71.00
82.00,71.00
80.25,70.00
77.00,69.00
76.50,68.00
72.50,67.00
70.50,66.00
73.00,66.00
74.25,66.00
75.00,67.00
75.25,67.00
75.50,67.00
75.50,67.00
75.50,67.00
75.50,67.00
75.50,67.00
75.50,67.00
75.50,67.00
78.00,67.00
79.25,67.00
80.00,68.00
77.25,67.00
76.25,66.00
75.50,65.00
75.25,65.00
75.00,65.00
74.75,65.00
77.25,65.00
77.00,64.00
77.25,64.00
77.50,64.00
77.50,64.00
77.50,64.00
79.25,64.00
78.00,65.00
78.25,65.00
78.50,65.00
78.25,65.00
78.50,65.00
78.50,65.00
78.50,65.00
78.25,65.00
77.75,66.00
80.25,66.00
79.00,66.00
78.25,66.00
79.00,66.00
79.00,66.00
79.00,66.00
79.00,67.00
79.25,67.00
79.25,67.00
79.25,67.00
79.25,67.00
79.25,68.00
79.50,68.00
79.50,68.00
79.50,68.00
79.25,68.00
79.50,68.00
79.75,68.00
79.75,68.00
79.75,68.00
80.25,67.00
79.25,66.00
79.00,66.00
78.50,66.00
78.00,66.00
78.50,66.00
76.75,66.00
79.25,67.00
80.50,67.00
79.75,68.00
79.25,68.00
79.50,68.00
80.25,68.00
80.75,68.00
80.75,68.00
80.75,68.00
80.75,68.00
79.25,68.00
80.75,67.00
80.75,67.00
81.00,67.00
81.50,67.00
81.00,67.00
80.00,67.00
79.50,67.00
79.75,67.00
78.75,67.00
77.75,67.00
78.50,67.00
78.50,67.00
78.50,66.00
78.50,66.00
78.25,66.00
78.00,66.00
77.75,66.00
77.75,66.00
77.75,66.00
75.50,65.00
73.75,65.00
73.75,64.00
76.50,65.00
77.75,66.00
78.50,67.00
78.50,67.00
79.25,68.00
79.25,68.00
79.50,68.00
79.75,68.00
80.00,68.00
80.00,68.00
80.25,69.00
80.50,69.00
80.50,69.00
80.25,69.00
80.75,69.00
80.50,69.00
81.00,69.00
80.50,69.00
80.25,69.00
80.25,69.00
81.00,69.00
80.25,69.00
80.75,69.00
80.25,69.00
80.75,69.00
81.00,69.00
81.00,70.00
81.00,70.00
80.25,69.00
80.75,70.00
80.25,70.00
81.00,69.00
80.50,70.00
80.75,70.00
80.50,70.00
80.75,70.00
80.50,70.00
81.00,70.00
80.50,70.00
81.00,70.00
80.50,70.00
81.00,70.00
80.50,70.00
80.50,70.00
81.00,70.00
81.00,70.00
81.00,70.00
81.00,70.00
81.00,70.00
81.25,70.00
81.25,70.00
81.25,70.00
81.75,70.00
81.50,70.00
81.75,70.00
81.75,70.00
82.00,70.00
81.75,70.00
81.75,70.00
81.75,70.00
81.75,70.00
79.25,70.00
82.50,69.00
82.25,70.00
82.25,71.00
82.75,71.00
82.75,71.00
82.75,71.00
82.75,71.00
83.00,71.00
83.00,71.00
83.00,71.00
83.00,71.00
83.00,72.00
83.00,72.00
83.00,72.00
83.00,72.00
83.00,72.00
83.50,72.00
83.00,72.00
83.25,72.00
83.00,72.00
83.25,72.00
83.00,72.00
83.50,72.00
83.00,72.00
83.00,72.00
83.00,72.00
83.75,72.00
83.75,72.00
83.75,72.00
83.00,72.00
83.00,72.00
83.50,72.00
80.50,71.00
89.25,71.00
83.75,72.00
83.50,72.00
83.25,72.00
83.75,72.00
83.00,72.00
83.75,72.00
83.75,72.00
84.00,72.00
83.50,72.00
83.25,72.00
83.50,72.00
83.00,72.00
83.50,72.00
83.00,72.00
83.25,72.00
83.50,72.00
83.50,72.00
83.25,72.00
84.00,72.00
83.25,72.00
84.00,72.00
83.50,72.00
83.75,72.00
83.50,72.00
83.50,72.00
83.50,72.00
83.50,72.00
83.50,72.00
83.50,72.00
83.50,72.00
83.25,72.00
81.25,71.00
79.50,70.00
76.75,69.00
73.50,68.00
73.00,67.00
76.00,68.00
76.50,68.00
76.50,68.00
77.00,69.00
76.75,68.00
76.75,69.00
76.75,68.00
76.75,68.00
76.50,68.00
78.25,68.00
80.50,68.00
80.75,68.00
80.00,69.00
81.25,69.00
77.75,68.00
77.25,67.00
77.25,67.00
77.00,66.00
78.50,66.00
79.25,67.00
79.75,68.00
79.75,68.00
80.00,68.00
80.75,69.00
80.50,69.00
81.75,69.00
80.50,68.00
79.75,68.00
81.00,68.00
80.75,68.00
80.25,68.00
80.00,67.00
80.00,67.00
79.75,67.00
79.25,67.00
80.50,67.00
80.25,67.00
80.00,67.00
80.00,67.00
80.25,68.00
80.50,68.00
80.50,68.00
80.75,68.00
80.50,68.00
80.75,68.00
80.50,68.00
81.00,69.00
80.75,69.00
80.75,69.00
80.75,69.00
81.00,69.00
81.00,69.00
80.50,69.00
80.50,69.00
80.75,69.00
79.50,68.00
82.75,68.00
81.25,69.00
81.75,69.00
80.25,69.00
81.50,69.00
80.50,69.00
81.25,69.00
80.75,69.00
80.50,69.00
80.25,69.00
81.75,69.00
80.50,69.00
80.50,68.00
80.00,68.00
80.00,68.00
80.00,68.00
79.00,67.00
79.25,67.00
79.25,67.00
79.00,67.00
79.50,67.00
79.00,67.00
79.00,67.00
79.00,67.00
79.00,67.00
79.00,67.00
78.50,67.00
80.25,67.00
80.50,68.00
81.00,68.00
80.50,68.00
80.25,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.25,69.00
