avg_cpu_temp,gpu_temp
50.75,48.00
51.00,48.00
55.25,49.00
57.25,50.00
58.25,50.00
59.50,51.00
60.25,51.00
61.00,52.00
62.00,52.00
62.00,52.00
63.00,53.00
63.00,53.00
64.00,54.00
65.00,54.00
68.00,56.00
69.00,57.00
70.00,57.00
69.00,58.00
67.75,58.00
67.50,59.00
67.25,59.00
67.25,59.00
68.00,59.00
70.75,59.00
72.00,60.00
72.75,60.00
73.50,61.00
74.00,61.00
74.50,62.00
78.25,62.00
78.50,62.00
78.50,62.00
79.75,62.00
80.75,62.00
81.50,63.00
81.50,63.00
82.00,63.00
82.00,63.00
80.25,64.00
82.00,64.00
82.75,64.00
83.00,64.00
83.75,64.00
84.00,65.00
84.50,65.00
84.50,66.00
84.75,66.00
85.25,66.00
85.50,66.00
85.50,67.00
85.75,67.00
85.75,68.00
86.25,68.00
86.50,68.00
86.50,68.00
86.50,68.00
86.50,68.00
86.50,68.00
86.50,68.00
83.25,68.00
82.50,67.00
84.25,66.00
84.00,66.00
82.00,65.00
81.25,65.00
79.75,65.00
80.50,65.00
80.25,64.00
79.75,64.00
79.50,64.00
79.75,64.00
82.00,64.00
82.50,64.00
82.50,64.00
82.75,64.00
82.75,64.00
80.25,64.00
80.50,64.00
80.75,64.00
80.50,64.00
81.50,64.00
83.50,64.00
83.75,64.00
83.75,64.00
84.00,64.00
84.25,64.00
82.00,64.00
81.25,64.00
81.00,64.00
80.75,64.00
80.25,64.00
80.25,64.00
80.00,63.00
80.00,63.00
80.00,63.00
79.75,63.00
76.00,63.00
76.00,63.00
76.50,63.00
83.25,65.00
85.50,66.00
87.25,67.00
88.75,68.00
88.00,68.00
87.50,69.00
88.75,69.00
88.75,70.00
88.50,70.00
88.75,70.00
89.00,70.00
89.25,70.00
89.25,70.00
89.50,70.00
89.25,71.00
89.50,71.00
89.25,71.00
89.50,71.00
89.25,71.00
89.75,71.00
89.50,71.00
89.50,71.00
89.00,71.00
89.75,71.00
87.50,71.00
90.00,71.00
87.50,71.00
86.75,72.00
87.25,72.00
87.00,72.00
87.50,71.00
89.25,71.00
87.75,72.00
88.00,72.00
89.75,72.00
87.75,72.00
89.25,72.00
87.75,72.00
89.75,72.00
89.75,72.00
89.00,72.00
88.00,72.00
89.75,72.00
90.00,73.00
89.75,73.00
89.50,73.00
89.00,73.00
88.25,73.00
87.75,73.00
89.75,73.00
90.00,73.00
89.50,73.00
88.25,73.00
88.75,73.00
89.25,73.00
89.25,73.00
88.75,73.00
87.75,73.00
89.75,73.00
90.00,73.00
90.00,73.00
89.75,73.00
90.00,73.00
86.00,72.00
89.50,72.00
87.75,72.00
89.75,73.00
89.25,73.00
89.00,73.00
87.50,73.00
90.00,73.00
89.75,73.00
90.25,73.00
90.00,73.00
90.00,73.00
90.00,73.00
89.75,73.00
87.75,73.00
90.25,73.00
89.75,73.00
89.75,73.00
89.75,73.00
90.00,73.00
88.75,73.00
87.75,73.00
90.00,73.00
90.00,73.00
88.50,73.00
88.25,73.00
87.75,73.00
87.75,73.00
89.75,73.00
89.75,73.00
88.50,73.00
87.75,73.00
87.00,73.00
84.25,72.00
80.25,71.00
77.00,70.00
76.00,68.00
77.50,69.00
77.50,69.00
77.50,69.00
77.50,68.00
77.25,68.00
76.75,68.00
76.50,68.00
76.50,68.00
76.00,68.00
76.00,67.00
78.75,67.00
79.75,68.00
80.00,68.00
80.50,68.00
80.50,68.00
77.75,67.00
76.75,66.00
76.25,66.00
76.00,65.00
78.75,66.00
79.75,67.00
80.50,67.00
80.50,67.00
80.75,68.00
80.75,68.00
83.50,68.00
85.50,68.00
87.00,68.00
86.50,68.00
89.00,69.00
88.00,69.00
86.75,69.00
88.75,69.00
87.75,69.00
86.75,68.00
88.50,68.00
86.25,69.00
86.75,69.00
88.75,69.00
89.00,69.00
89.00,69.00
89.00,70.00
89.50,70.00
88.75,70.00
87.75,70.00
87.50,70.00
87.75,71.00
88.25,71.00
89.00,71.00
89.25,71.00
87.75,71.00
86.75,71.00
89.00,71.00
89.00,71.00
86.50,71.00
89.50,71.00
85.50,70.00
87.75,71.00
89.00,71.00
89.00,71.00
86.75,71.00
86.50,71.00
85.50,70.00
84.75,69.00
84.00,68.00
83.75,68.00
83.50,67.00
85.25,67.00
83.25,67.00
86.00,67.00
86.75,68.00
87.75,69.00
87.00,70.00
85.50,70.00
84.75,70.00
84.50,70.00
84.00,70.00
87.00,70.00
88.00,70.00
88.25,70.00
89.25,70.00
89.25,71.00
88.00,71.00
86.50,71.00
86.00,71.00
85.25,71.00
85.00,71.00
84.75,70.00
84.25,70.00
84.25,70.00
84.00,70.00
84.00,70.00
80.50,70.00
78.75,68.00
76.25,67.00
86.50,69.00
89.50,70.00
88.25,71.00
87.75,71.00
87.25,71.00
87.00,71.00
88.25,71.00
89.25,71.00
87.50,72.00
86.75,72.00
87.75,72.00
87.75,72.00
88.50,72.00
87.00,72.00
86.75,72.00
86.75,72.00
87.50,72.00
87.50,72.00
88.25,72.00
87.50,72.00
87.75,72.00
87.75,72.00
87.75,72.00
87.50,72.00
88.00,72.00
87.75,72.00
87.00,72.00
88.50,72.00
87.50,72.00
87.25,72.00
85.00,72.00
84.75,71.00
85.00,71.00
85.00,72.00
85.25,72.00
85.00,72.00
85.25,72.00
85.50,72.00
85.25,72.00
85.75,72.00
85.25,72.00
85.75,72.00
85.25,72.00
85.75,72.00
85.75,72.00
85.75,72.00
85.75,72.00
85.75,72.00
85.75,72.00
85.75,72.00
85.75,72.00
85.75,72.00
85.75,72.00
84.00,72.00
83.50,71.00
83.00,71.00
83.00,71.00
82.75,71.00
82.25,71.00
82.25,70.00
82.00,70.00
82.00,70.00
82.00,70.00
82.50,69.00
81.75,69.00
82.00,70.00
81.50,70.00
82.00,70.00
82.00,70.00
82.00,70.00
81.75,70.00
81.50,70.00
82.00,70.00
81.50,70.00
81.25,70.00
81.75,69.00
81.50,70.00
81.75,70.00
81.25,70.00
81.50,69.00
81.50,69.00
82.00,69.00
81.25,69.00
81.50,69.00
81.75,69.00
81.25,69.00
81.50,69.00
81.75,69.00
82.00,69.00
81.25,69.00
81.50,69.00
81.25,69.00
81.50,69.00
81.75,69.00
81.50,69.00
76.50,68.00
76.00,67.00
73.50,66.00
70.25,65.00
70.25,64.00
72.25,63.00
72.75,63.00
73.25,63.00
73.25,63.00
73.25,63.00
73.25,63.00
73.25,62.00
73.00,62.00
73.00,62.00
73.00,62.00
76.00,62.00
76.50,62.00
76.25,62.00
75.25,62.00
75.00,62.00
74.75,61.00
74.50,61.00
74.50,61.00
74.50,61.00
75.75,61.00
75.50,61.00
76.00,61.00
75.50,61.00
75.75,61.00
75.75,61.00
76.25,61.00
76.25,61.00
76.00,61.00
76.00,61.00
77.00,62.00
76.50,62.00
76.75,62.00
77.00,63.00
77.50,63.00
77.00,63.00
77.50,63.00
78.25,64.00
77.75,63.00
77.00,63.00
77.75,64.00
77.75,64.00
78.00,64.00
78.25,64.00
78.25,65.00
78.25,65.00
78.25,65.00
78.25,65.00
78.00,65.00
78.25,65.00
78.00,65.00
78.25,65.00
78.00,65.00
78.25,65.00
78.00,65.00
78.25,65.00
78.50,65.00
77.00,65.00
78.50,65.00
78.00,64.00
76.25,64.00
77.25,63.00
75.25,63.00
76.25,62.00
76.00,62.00
76.50,62.00
76.00,62.00
75.75,61.00
76.75,61.00
76.50,62.00
76.50,61.00
76.50,61.00
76.75,62.00
76.25,63.00
77.25,63.00
77.50,64.00
78.00,65.00
78.25,65.00
78.75,65.00
78.25,64.00
77.75,64.00
77.75,64.00
77.75,64.00
