avg_cpu_temp,gpu_temp
48.75,45.00
48.75,45.00
48.75,45.00
48.75,46.00
48.75,45.00
48.75,45.00
49.00,46.00
49.00,46.00
49.25,46.00
49.25,46.00
49.25,46.00
49.00,46.00
49.00,46.00
49.25,46.00
49.00,46.00
49.25,46.00
49.00,46.00
49.00,46.00
49.25,46.00
50.50,47.00
50.00,46.00
49.50,46.00
49.50,46.00
49.25,46.00
49.75,47.00
49.75,47.00
50.50,47.00
53.75,47.00
51.75,47.00
51.25,47.00
50.50,47.00
50.25,47.00
50.25,47.00
50.25,47.00
50.00,47.00
50.00,47.00
50.00,47.00
50.00,47.00
50.00,47.00
49.75,47.00
50.00,47.00
50.00,47.00
50.00,47.00
50.25,47.00
52.25,47.00
52.50,48.00
53.75,48.00
52.75,48.00
52.25,48.00
51.25,48.00
51.25,48.00
51.00,48.00
51.00,48.00
50.75,47.00
50.25,47.00
50.25,47.00
50.00,47.00
50.75,48.00
55.50,49.00
57.25,50.00
58.50,51.00
59.50,52.00
59.75,52.00
60.50,53.00
61.00,53.00
61.25,53.00
61.75,54.00
62.25,54.00
62.50,54.00
66.75,55.00
69.50,55.00
69.50,56.00
70.25,56.00
67.75,55.00
67.00,55.00
66.75,54.00
66.75,54.00
66.50,54.00
70.00,55.00
71.25,56.00
71.50,57.00
72.50,57.00
73.00,58.00
73.50,58.00
75.75,58.00
76.75,59.00
78.25,60.00
78.75,60.00
81.75,61.00
82.75,62.00
84.00,62.00
85.50,63.00
86.00,64.00
84.25,64.00
86.50,64.00
86.25,65.00
85.75,65.00
86.00,65.00
86.00,66.00
87.00,67.00
87.75,67.00
88.00,67.00
87.25,67.00
87.25,68.00
88.25,68.00
88.75,68.00
88.50,69.00
87.50,69.00
87.00,69.00
86.25,69.00
87.00,69.00
88.75,69.00
87.50,69.00
86.75,69.00
87.75,69.00
85.00,69.00
83.75,69.00
85.75,69.00
85.75,69.00
84.25,69.00
83.00,69.00
83.25,67.00
83.25,66.00
82.75,67.00
82.00,67.00
81.25,67.00
84.75,67.00
86.00,67.00
85.25,67.00
85.25,67.00
85.00,67.00
84.25,67.00
84.00,67.00
83.25,67.00
83.00,67.00
83.00,67.00
85.25,67.00
86.25,67.00
83.75,67.00
85.50,67.00
86.00,67.00
83.50,67.00
82.50,67.00
81.75,67.00
81.00,67.00
81.00,67.00
81.00,67.00
80.50,67.00
80.25,67.00
80.25,67.00
80.00,67.00
78.50,67.00
76.25,66.00
75.00,66.00
70.75,65.00
83.50,66.00
87.25,67.00
87.75,68.00
81.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.00,68.00
80.25,69.00
80.00,69.00
79.50,68.00
80.50,68.00
81.50,68.00
80.00,68.00
79.50,68.00
79.25,68.00
79.00,67.00
79.00,67.00
78.75,67.00
78.50,67.00
78.25,67.00
78.25,67.00
78.25,67.00
78.75,66.00
78.25,66.00
78.25,66.00
78.00,66.00
78.25,66.00
78.00,66.00
78.25,66.00
78.50,66.00
78.50,66.00
78.00,66.00
78.50,66.00
78.00,66.00
78.25,66.00
78.00,66.00
77.50,66.00
77.75,66.00
77.50,66.00
77.75,66.00
78.50,65.00
78.75,65.00
78.75,66.00
79.50,66.00
79.50,66.00
79.50,67.00
79.50,67.00
79.50,67.00
79.50,67.00
79.50,67.00
79.50,67.00
79.50,67.00
79.75,67.00
80.00,67.00
80.00,67.00
80.00,67.00
80.25,67.00
80.00,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.00,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.00,67.00
80.00,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
78.00,67.00
83.25,66.00
80.00,66.00
80.00,67.00
79.75,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.00,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,68.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,68.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.50,67.00
80.25,68.00
80.50,67.00
74.75,66.00
75.00,64.00
70.50,63.00
67.75,63.00
69.75,62.00
70.75,63.00
71.25,63.00
71.25,63.00
71.25,63.00
70.75,63.00
71.25,63.00
71.00,63.00
70.75,62.00
70.50,62.00
73.75,62.00
75.50,62.00
76.50,62.00
76.50,62.00
74.25,61.00
73.00,60.00
72.50,60.00
72.00,59.00
71.75,59.00
74.00,59.00
74.75,59.00
74.25,59.00
74.00,59.00
74.25,59.00
74.50,59.00
75.50,59.00
75.00,60.00
75.50,60.00
75.25,61.00
76.75,61.00
75.75,61.00
75.75,61.00
75.75,61.00
75.75,61.00
74.75,61.00
76.00,61.00
76.25,61.00
76.00,61.00
77.00,61.00
76.25,61.00
76.50,62.00
76.50,62.00
76.75,63.00
76.50,63.00
76.25,63.00
76.50,63.00
76.25,63.00
76.75,63.00
76.75,63.00
76.75,63.00
76.75,64.00
76.75,64.00
76.75,63.00
76.75,63.00
77.00,63.00
76.50,63.00
75.00,62.00
80.00,62.00
77.00,62.00
76.75,62.00
75.25,62.00
76.25,62.00
75.75,61.00
75.00,60.00
75.00,60.00
74.75,60.00
74.50,59.00
76.50,60.00
75.75,60.00
76.00,60.00
76.00,61.00
76.00,61.00
75.00,61.00
75.00,61.00
75.25,62.00
75.75,62.00
75.75,62.00
78.25,63.00
77.75,63.00
77.50,63.00
77.50,63.00
77.75,63.00
76.50,63.00
76.00,62.00
76.25,61.00
76.25,61.00
76.00,61.00
76.00,61.00
76.00,61.00
76.00,61.00
76.00,61.00
76.00,61.00
73.75,61.00
71.25,61.00
76.00,62.00
75.25,62.00
75.50,62.00
76.25,63.00
76.00,63.00
76.50,63.00
76.50,63.00
76.75,64.00
76.50,64.00
76.75,64.00
76.75,64.00
76.75,64.00
76.75,64.00
76.75,64.00
77.00,64.00
76.75,64.00
76.75,64.00
77.00,64.00
77.00,64.00
77.00,64.00
77.00,64.00
77.00,64.00
77.25,64.00
77.00,64.00
77.25,65.00
77.00,64.00
77.25,64.00
77.25,64.00
77.25,64.00
77.25,64.00
77.25,64.00
77.25,64.00
78.50,64.00
78.25,64.00
78.50,65.00
78.25,65.00
78.75,65.00
78.75,65.00
78.75,65.00
79.00,66.00
79.00,66.00
79.00,66.00
79.25,66.00
79.75,66.00
79.50,66.00
79.75,66.00
79.75,66.00
79.75,66.00
79.75,66.00
79.75,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.25,66.00
80.25,66.00
80.25,67.00
80.25,66.00
80.25,66.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
79.75,67.00
80.25,67.00
78.50,66.00
83.75,66.00
80.25,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.25,67.00
80.25,67.00
80.50,67.00
80.25,67.00
80.25,67.00
80.50,67.00
80.25,67.00
80.00,67.00
80.00,67.00
80.00,67.00
80.50,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.25,67.00
80.75,67.00
80.25,67.00
80.75,67.00
80.25,67.00
80.00,67.00
80.00,67.00
79.75,67.00
80.75,67.00
80.25,67.00
80.00,66.00
76.25,65.00
74.25,65.00
71.00,63.00
68.50,63.00
69.75,62.00
70.75,62.00
70.75,62.00
70.75,62.00
70.75,62.00
70.25,62.00
70.25,62.00
70.25,62.00
69.75,62.00
69.75,61.00
71.50,61.00
72.50,61.00
73.75,61.00
73.75,62.00
71.50,61.00
70.00,60.00
69.25,59.00
69.00,59.00
68.50,59.00
71.00,59.00
72.25,60.00
72.75,60.00
73.25,61.00
73.25,61.00
73.75,61.00
74.25,61.00
76.25,62.00
76.50,62.00
77.25,62.00
79.50,62.00
77.25,62.00
77.25,62.00
76.50,62.00
76.75,61.00
75.75,61.00
75.25,61.00
76.50,61.00
76.50,61.00
76.25,61.00
75.75,61.00
76.00,61.00
76.25,62.00
76.00,62.00
76.50,62.00
76.50,62.00
76.50,62.00
76.50,62.00
76.50,63.00
76.25,63.00
76.75,63.00
76.00,63.00
76.75,63.00
76.75,63.00
76.75,63.00
76.75,63.00
76.50,63.00
75.00,62.00
78.75,62.00
76.75,62.00
76.00,62.00
75.50,62.00
75.75,62.00
76.00,61.00
75.50,60.00
74.75,60.00
74.75,59.00
74.50,59.00
76.50,59.00
75.50,60.00
75.25,60.00
75.00,60.00
75.25,60.00
75.25,60.00
74.50,60.00
75.25,60.00
75.25,61.00
75.00,61.00
77.00,61.00
76.00,60.00
76.00,60.00
75.50,61.00
75.00,61.00
74.25,60.00
75.00,59.00
74.50,59.00
74.00,59.00
74.00,58.00
74.75,58.00
74.00,58.00
74.00,58.00
74.00,58.00
73.75,58.00
73.50,58.00
71.50,58.00
68.00,57.00
65.50,57.00
73.25,58.00
74.00,60.00
74.75,60.00
74.75,61.00
74.75,61.00
75.25,61.00
75.75,61.00
75.75,62.00
75.75,62.00
75.75,62.00
76.50,63.00
76.00,63.00
76.00,63.00
76.00,63.00
76.25,63.00
76.75,63.00
76.50,63.00
76.75,63.00
76.75,63.00
76.75,63.00
76.75,64.00
76.75,64.00
76.75,64.00
76.75,64.00
76.75,64.00
76.75,64.00
77.00,64.00
77.00,64.00
77.00,64.00
77.25,64.00
77.25,64.00
80.25,63.00
79.00,64.00
78.00,64.00
78.75,64.00
78.75,65.00
79.00,65.00
79.00,65.00
79.00,65.00
79.25,65.00
79.25,65.00
79.25,65.00
79.75,66.00
79.75,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.25,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,66.00
79.75,66.00
80.00,66.00
80.00,66.00
80.00,66.00
78.50,65.00
79.50,65.00
79.50,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.25,66.00
80.00,66.00
80.00,66.00
80.00,66.00
80.00,67.00
80.00,66.00
80.00,66.00
80.25,66.00
80.00,66.00
80.00,67.00
80.00,67.00
80.25,66.00
80.00,66.00
80.25,67.00
80.00,67.00
80.25,67.00
80.00,67.00
80.00,67.00
80.00,67.00
80.00,67.00
80.00,67.00
80.00,67.00
80.00,67.00
80.00,67.00
80.25,67.00
78.50,66.00
73.25,65.00
73.25,64.00
69.50,63.00
69.50,62.00
70.50,61.00
70.75,60.00
70.50,60.00
70.50,60.00
70.25,59.00
70.25,59.00
69.50,59.00
69.25,58.00
69.25,58.00
69.25,58.00
71.75,58.00
73.00,58.00
73.50,58.00
74.00,59.00
71.25,59.00
70.00,58.00
69.75,58.00
68.75,58.00
68.75,58.00
71.75,58.00
73.50,58.00
73.25,57.00
73.75,58.00
73.75,57.00
73.75,57.00
75.50,57.00
75.25,59.00
75.00,59.00
75.00,59.00
75.75,60.00
75.75,60.00
76.00,60.00
75.75,60.00
76.00,60.00
74.75,60.00
77.50,61.00
76.75,61.00
76.50,61.00
76.00,61.00
76.50,61.00
76.25,61.00
76.50,61.00
76.25,62.00
76.50,62.00
76.50,62.00
76.25,62.00
76.50,62.00
76.00,62.00
76.50,62.00
76.25,63.00
76.50,63.00
76.25,62.00
76.50,62.00
76.25,62.00
76.50,62.00
76.00,62.00
74.00,61.00
76.50,60.00
75.25,60.00
74.00,59.00
75.50,59.00
74.75,59.00
74.75,60.00
74.75,61.00
75.00,61.00
74.75,61.00
75.00,61.00
78.75,62.00
76.50,61.00
76.25,61.00
76.00,61.00
76.00,61.00
74.75,61.00
75.75,61.00
76.00,61.00
74.75,61.00
75.00,61.00
76.75,61.00
74.75,60.00
75.25,60.00
75.25,60.00
74.75,60.00
73.50,60.00
74.00,60.00
74.25,61.00
74.25,61.00
74.00,61.00
